,event_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_type,source_depth_km,preferred_source_magnitude,preferred_source_magnitude_type,preferred_source_magnitude_uncertainty,source_depth_uncertainty_km,source_horizontal_uncertainty_km,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_arrival_uncertainty_s,trace_P_arrival_uncertainty_s,trace_P_polarity,trace_S_onset,trace_P_onset,trace_snr_db,year,source_type_pnsn_label,source_local_magnitude,source_local_magnitude_uncertainty,source_duration_magnitude,source_duration_magnitude_uncertainty,source_hand_magnitude
18,uw10824123,2011-09-05T02:57:35.360000Z,47.458,-121.815,earthquake,24.227,1.33,ml,0.138,0.05,0.0,UW,BH,RATT,--,47.4255,-121.802,442.4,"bucket1$18,:3,:15001",100,2011-09-05T02:56:45.360000Z,5688.0,5371.0,0.03,0.04,undecidable,,,20.819|20.843|14.261,2011.0,eq,1.33,0.138,1.5,0.05,
19,uw10682013,2005-08-17T19:50:58.150000Z,47.595,-122.714,earthquake,23.256,0.8,md,0.02,0.26,0.414,UW,BH,GNW,--,47.5641,-122.825,220.0,"bucket1$19,:3,:15001",100,2005-08-17T19:50:08.150000Z,5676.0,5384.0,0.02,0.02,undecidable,,,12.516|17.195|6.549,2005.0,eq,,,0.8,0.02,
20,uw61104631,2015-11-13T11:36:40.860000Z,46.962,-123.95,earthquake,34.89,2.69,ml,0.34,0.64,0.75,US,BH,NLWA,00,47.3917,-123.869,640.0,"bucket1$20,:3,:15001",100,2015-11-13T11:35:50.860000Z,6616.0,5916.0,0.06,0.15,undecidable,impulsive,emergent,10.521|-0.717|0.757,2015.0,eq,2.69,0.34,1.98,0.246,
21,uw10789418,2009-10-13T13:44:54.880000Z,47.782,-122.772,earthquake,20.196,0.97,ml,0.096,0.04,0.045,UW,BH,GNW,--,47.5641,-122.825,220.0,"bucket1$21,:3,:15001",100,2009-10-13T13:44:04.880000Z,5867.0,5487.0,0.02,0.02,undecidable,,,-0.341|1.869|-4.881,2009.0,eq,0.97,0.096,0.4,0.01,
22,uw61844597,2022-06-19T03:48:33.450000Z,47.566,-122.608,earthquake,27.76,1.46,ml,0.257,1.1,0.66,UW,HH,MORSE,--,47.689,-122.515,35.9,"bucket1$22,:3,:15001",100,2022-06-19T03:47:43.450000Z,5984.0,5521.0,0.06,0.03,positive,impulsive,impulsive,6.792|9.711|5.028,2022.0,eq,1.46,0.256642606838,1.46,0.422120730199,
23,uw60458721,2012-08-29T09:50:10.680000Z,47.024,-121.86,earthquake,14.913,0.64,ml,0.061,0.71,0.29,UW,BH,STOR,--,47.1881,-121.989,266.4,"bucket1$23,:3,:15001",100,2012-08-29T09:49:20.680000Z,5735.0,5438.0,0.15,0.06,negative,emergent,impulsive,-5.751|-2.919|2.268,2012.0,eq,0.64,0.061,0.4,0.156,
24,uw61700106,2020-11-07T11:15:02.670000Z,46.853,-121.759,earthquake,1.51,0.49,ml,0.131,0.57,0.29,CC,BH,PR05,--,46.8417,-121.949,1553.0,"bucket1$24,:3,:15001",100,2020-11-07T11:14:12.670000Z,5402.0,5259.0,0.06,0.03,positive,impulsive,impulsive,-5.43|-5.489|-0.059,2020.0,eq,0.49,0.130671649611,-0.11,0.229427532373,
25,uw61501448,2021-01-17T23:08:55.670000Z,45.33,-121.695,earthquake,6.73,1.79,ml,0.227818542368,0.69,0.67,CC,BH,TIMB,--,45.3357,-121.71,1869.0,"bucket1$25,:3,:15001",100,2021-01-17T23:08:05.670000Z,5307.0,5185.0,0.06,0.03,negative,impulsive,impulsive,10.564|10.636|9.445,2021.0,eq,1.79,0.227818542368,2.36,0.644916895944,
26,uw10828493,2011-10-05T21:39:39.040000Z,48.124,-122.961,earthquake,50.752,1.97,ml,0.142,0.86,0.54,UW,BH,LRIV,--,48.0575,-123.504,293.8,"bucket1$26,:3,:15001",100,2011-10-05T21:38:49.040000Z,6712.0,5950.0,0.3,0.04,undecidable,emergent,,5.743|7.01|-1.603,2011.0,eq,1.97,0.142,1.49,0.084,
27,uw61707241,2020-12-28T22:17:33.120000Z,46.864,-121.73,earthquake,-2.76,0.3,ml,0.14,1.3,0.48,CC,BH,PARA,--,46.7864,-121.742,1651.2,"bucket1$27,:3,:15001",100,2020-12-28T22:16:43.120000Z,5278.0,5162.0,0.15,0.15,undecidable,emergent,emergent,-1.631|2.4|-0.116,2020.0,eq,0.3,0.140497042328,-0.31,0.272446194627,
28,uw61705381,2020-12-13T23:02:23.230000Z,46.852,-121.754,earthquake,1.74,0.96,ml,0.252,0.36,0.2,CC,BH,OBSR,--,46.8997,-121.815,2382.0,"bucket1$28,:3,:15001",100,2020-12-13T23:01:33.230000Z,5265.0,5143.0,0.06,0.03,positive,impulsive,impulsive,11.207|17.077|14.455,2020.0,eq,0.96,0.251921749602,0.19,0.305599310003,
29,uw61286322,2017-07-28T00:40:47.050000Z,47.267,-122.894,earthquake,20.29,1.09,ml,0.116,1.74,0.53,UW,BH,RATT,--,47.4255,-121.802,442.4,"bucket1$29,:3,:15001",100,2017-07-28T00:39:57.050000Z,7436.0,6364.0,0.06,0.03,positive,impulsive,impulsive,5.613|6.289|-0.903,2017.0,eq,1.09,0.116,1.44,0.292,
30,uw61881566,2022-09-18T22:37:13.860000Z,46.929,-121.93,earthquake,12.46,0.18,ml,0.066,0.69,0.49,CC,BH,STYX,--,46.9637,-122.08,568.3,"bucket1$30,:3,:15001",100,2022-09-18T22:36:23.860000Z,5586.0,5316.0,0.15,0.06,positive,emergent,impulsive,-2.660|-10.017|-4.546,2022.0,eq,0.18,0.0655801378265,0.0,0.203963055397,
31,uw61869597,2022-09-08T02:26:35.770000Z,48.268,-121.866,earthquake,13.39,1.06,ml,0.23,1.29,0.64,UW,HH,RPW2,--,48.4449,-121.526,683.0,"bucket1$31,:3,:15001",100,2022-09-08T02:25:45.770000Z,5999.0,5579.0,0.06,0.15,undecidable,impulsive,emergent,4.506|-0.614|-2.145,2022.0,eq,1.06,0.230017892423,0.83,0.2560231106,
32,uw60487857,2013-01-02T21:28:11.760000Z,47.888,-121.653,earthquake,8.462,1.6,ml,0.129,0.66,0.37,UW,BH,RATT,--,47.4255,-121.802,442.4,"bucket1$32,:3,:15001",100,2013-01-02T21:27:21.760000Z,6580.0,5835.0,0.15,0.15,undecidable,emergent,emergent,-1.497|0.455|5.579,2013.0,eq,1.6,0.129,1.69,0.207,
33,uw10759393,2009-01-20T17:41:27.300000Z,46.198,-122.188,earthquake,0.364,0.62,ml,0.219,0.21,0.39,CC,BH,STD,--,46.2375,-122.224,1189.0,"bucket1$33,:3,:15001",100,2009-01-20T17:40:37.300000Z,5236.0,5126.0,0.04,0.02,positive,,,8.508|8.187|6.809,2009.0,eq,0.62,0.219,1.29,0.661,
34,uw60812756,2014-06-18T23:39:23.810000Z,46.199,-122.184,earthquake,1.596,0.5,ml,0.12,0.22,0.41,CC,BH,STD,--,46.2375,-122.224,1189.0,"bucket1$34,:3,:15001",100,2014-06-18T23:38:33.810000Z,5233.0,5133.0,0.06,0.06,undecidable,impulsive,impulsive,0.106|3.072|7.571,2014.0,eq,0.5,0.12,0.51,0.141,
35,uw61886597,2022-11-21T16:01:57.140000Z,48.508,-122.434666667,earthquake,4.82,1.06,ml,0.099,18.48,0.78,UW,HH,DONK,--,48.4238,-122.157,892.8,"bucket1$35,:3,:15001",100,2022-11-21T16:01:07.140000Z,5904.0,5453.0,0.15,0.15,undecidable,emergent,emergent,4.913|13.172|5.501,2022.0,eq,1.06,0.0992294346859,0.5,0.158032908414,
36,uw61345497,2018-01-30T06:24:43.410000Z,47.167,-121.985,earthquake,14.68,2.35,ml,0.258,0.51,0.21,UW,BH,LTY,--,47.2545,-120.666,807.0,"bucket1$36,:3,:15001",100,2018-01-30T06:23:53.410000Z,7794.0,6592.0,0.15,0.06,negative,emergent,impulsive,5.848|11.445|6.306,2018.0,eq,2.35,0.258,2.51,0.394,
37,uw60953242,2015-02-05T00:28:41.390000Z,47.69,-122.78,earthquake,9.664,0.58,ml,0.02,2.82,1.87,UW,BH,DOSE,--,47.7172,-122.972,53.3,"bucket1$37,:3,:15001",100,2015-02-05T00:27:51.390000Z,5530.0,5297.0,0.06,0.06,undecidable,impulsive,impulsive,4.484|4.344|2.412,2015.0,eq,0.58,0.118,0.28,0.245,
38,uw61699367,2021-01-17T23:41:13.880000Z,45.333,-121.692,earthquake,6.17,1.14,ml,0.106,0.4,0.37,CC,BH,HIYU,--,45.4352,-121.807,1418.0,"bucket1$38,:3,:15001",100,2021-01-17T23:40:23.880000Z,5587.0,5335.0,0.06,0.06,negative,impulsive,impulsive,1.325|6.107|5.773,2021.0,eq,1.14,0.106445621525,0.56,0.321452322824,
39,uw61565247,2019-12-27T00:06:15.260000Z,46.87,-121.756,earthquake,0.17,0.44,ml,0.385,0.67,0.27,CC,BH,SIFT,--,46.8669,-121.953,732.0,"bucket1$39,:3,:15001",100,2019-12-27T00:05:25.260000Z,5466.0,5262.0,0.06,0.03,positive,impulsive,impulsive,-8.587|4.557|0.903,2019.0,eq,0.44,0.384821912986,-0.17,0.210350604891,
40,uw10722958,2007-11-01T21:16:29.820000Z,44.553,-117.437,earthquake,6.57,1.2,md,0.08,26.01,10.332,TA,BH,H10A,--,44.589,-116.747,882.0,"bucket1$40,:3,:15001",100,2007-11-01T21:15:39.820000Z,6703.0,5961.0,0.05,0.1,undecidable,,,2.369|2.489|-4.199,2007.0,eq,,,1.2,0.08,
41,uw61067097,2015-09-18T05:48:07.020000Z,41.845,-119.635,earthquake,0.016,1.46,md,0.186,0.74,0.81,US,BH,WVOR,00,42.4339,-118.637,1344.0,"bucket1$41,:3,:15001",100,2015-09-18T05:47:17.020000Z,8053.0,6725.0,0.06,0.06,positive,impulsive,impulsive,8.854|5.65|-0.668,2015.0,eq,,,1.46,0.186,
42,uw61278111,2017-05-04T04:20:02.460000Z,47.595,-122.552,earthquake,21.36,0.88,ml,0.174,0.7,0.5,UW,BH,GNW,--,47.5641,-122.825,220.0,"bucket1$42,:3,:15001",100,2017-05-04T04:19:12.460000Z,5815.0,5454.0,0.06,0.06,undecidable,impulsive,impulsive,6.56|10.586|2.688,2017.0,eq,0.88,0.174,0.34,0.033,
43,uw10651258,2004-09-30T20:28:28.880000Z,46.202,-122.188,earthquake,-0.708,3.0,md,0.06,0.17,0.27,UW,BH,LON,--,46.7506,-121.81,853.0,"bucket1$43,:3,:15001",100,2004-09-30T20:27:38.880000Z,7144.0,6184.0,0.06,0.12,undecidable,,,2.281|3.052|-2.151,2004.0,eq,,,3.0,0.06,
44,uw10826403,2011-07-23T08:03:40.490000Z,47.642,-121.726,earthquake,17.836,3.22,ml,0.14,0.72,0.36,CC,BH,PANH,--,46.859,-121.643,2086.0,"bucket1$44,:3,:15001",100,2011-07-23T08:02:50.490000Z,7441.0,6383.0,0.05,0.02,negative,,,48.606|48.8|43.338,2011.0,eq,3.22,0.14,3.33,0.273,
45,uw61806061,2021-12-13T05:21:16.360000Z,48.189,-120.803,earthquake,4.15,1.54,ml,0.027,0.87,0.37,UW,HH,TWISP,--,48.4611,-120.12,756.2,"bucket1$45,:3,:15001",100,2021-12-13T05:20:26.360000Z,6738.0,6007.0,0.06,0.03,negative,impulsive,impulsive,-4.003|0.118|-7.729,2021.0,eq,1.54,0.0270581065155,1.74,0.2905217656,
46,uw61561287,2019-11-25T02:20:55.610000Z,47.291,-122.007,earthquake,16.04,1.5,ml,0.157598693848,0.76,0.46,CC,BH,OBSR,--,46.8997,-121.815,2382.0,"bucket1$46,:3,:15001",100,2019-11-25T02:20:05.610000Z,6390.0,5796.0,0.15,0.3,undecidable,emergent,emergent,2.404|2.514|3.787,2019.0,eq,1.5,0.157598693848,1.09,0.110315819148,
47,uw61810196,2022-01-09T08:32:29.980000Z,46.651,-121.882,earthquake,2.92,0.68,ml,0.237,1.55,0.33,CC,BH,PARA,--,46.7864,-121.742,1651.2,"bucket1$47,:3,:15001",100,2022-01-09T08:31:39.980000Z,5556.0,5306.0,0.03,0.06,positive,impulsive,impulsive,5.651|10.836|3.605,2022.0,eq,0.68,0.236902013746,0.41,0.210415995938,
48,uw10617988,2004-07-31T20:57:40.620000Z,46.854,-121.755,earthquake,-1.159,0.7,md,0.03,0.35,0.236,UW,BH,LON,--,46.7506,-121.81,853.0,"bucket1$48,:3,:15001",100,2004-07-31T20:56:50.620000Z,5376.0,5208.0,0.02,0.02,negative,,,13.583|9.88|9.326,2004.0,eq,,,0.7,0.03,
49,uw61639476,2020-06-10T00:16:42.770000Z,48.877,-123.456,earthquake,4.74,0.72,ml,0.136,18.0,1.36,CN,HH,SNB,--,48.7751,-123.172,402.0,"bucket1$49,:3,:15001",100,2020-06-10T00:15:52.770000Z,5722.0,5410.0,0.15,0.06,positive,emergent,impulsive,7.49|2.039|-1.347,2020.0,eq,0.72,0.13598489547,0.24,0.0376473365623,
50,uw10720958,2007-05-27T15:20:45.130000Z,46.547,-119.727,earthquake,18.783,1.8,md,0.02,0.32,0.347,US,BH,HAWA,--,46.3925,-119.533,364.0,"bucket1$50,:3,:15001",100,2007-05-27T15:19:55.130000Z,5914.0,5530.0,0.03,0.03,positive,,,10.934|19.309|26.625,2007.0,eq,,,1.8,0.02,
51,uw61807151,2021-12-19T12:00:34.730000Z,46.66,-124.081,earthquake,35.19,2.1,ml,0.16,0.86,0.72,UW,HH,ARTIC,--,46.8052,-123.759,127.9,"bucket1$51,:3,:15001",100,2021-12-19T11:59:44.730000Z,6287.0,5687.0,0.06,0.15,undecidable,impulsive,emergent,9.171|2.375|1.197,2021.0,eq,2.1,0.160493319445,1.61,0.176182716932,
52,uw60882896,2014-09-19T07:36:32.710000Z,46.937,-121.966,earthquake,11.434,0.98,ml,0.175523443825,0.9,0.4,CC,BH,PANH,--,46.859,-121.643,2086.0,"bucket1$52,:3,:15001",100,2014-09-19T07:35:42.710000Z,5837.0,5475.0,0.06,0.03,positive,impulsive,impulsive,9.097|5.605|-1.275,2014.0,eq,0.98,0.175523443825,0.71,0.361905443566,
53,uw61439781,2018-10-22T02:23:59.930000Z,46.203,-122.195,earthquake,5.17,0.26,ml,0.196,1.17,10.55,CC,BH,SWF2,--,46.1783,-122.217,1548.0,"bucket1$53,:3,:15001",100,2018-10-22T02:23:09.930000Z,5244.0,5154.0,0.06,0.15,undecidable,impulsive,emergent,9.483|7.186|1.404,2018.0,eq,0.26,0.196,0.8,0.147,
54,uw61404232,2018-08-03T00:32:15.350000Z,45.638,-122.741,earthquake,9.95,1.4,ml,0.17,14.65,0.41,UW,HH,FISH,--,45.9306,-123.559,327.0,"bucket1$54,:3,:15001",100,2018-08-03T00:31:25.350000Z,7080.0,6151.0,0.06,0.06,positive,impulsive,impulsive,3.052|4.795|0.379,2018.0,eq,1.4,0.17,1.15,0.087,
55,uw61881712,2022-11-01T07:05:16.470000Z,48.5378333333,-119.493,earthquake,2.2,1.33,ml,0.129,3.3,0.25,UW,HH,TNSKT,--,48.7223,-119.442,394.9,"bucket1$55,:3,:15001",100,2022-11-01T07:04:26.470000Z,5623.0,5351.0,0.06,0.03,negative,impulsive,impulsive,15.123|28.070|13.184,2022.0,eq,1.33,0.129429185042,1.94,0.273994721285,
56,uw61779926,2021-09-14T13:10:03.050000Z,45.727,-122.96,earthquake,17.65,1.04,ml,0.137,0.51,0.49,UW,HH,YACT,--,45.9325,-122.419,211.2,"bucket1$56,:3,:15001",100,2021-09-14T13:09:13.050000Z,6464.0,5835.0,0.06,0.03,undecidable,impulsive,impulsive,10.993|3.304|2.114,2021.0,eq,1.04,0.13704302435,0.56,0.115686426921,
57,uw10597778,2003-09-18T19:37:49.860000Z,48.123,-117.818,earthquake,1.004,2.1,md,0.03,6.26,5.613,US,BH,NEW,--,48.2642,-117.123,760.0,"bucket1$57,:3,:15001",100,2003-09-18T19:36:59.860000Z,6589.0,5899.0,0.03,0.03,positive,,,0.412|2.323|3.493,2003.0,su,,,2.1,0.03,
58,uw10783643,2009-09-19T19:25:27.310000Z,46.497,-119.656,earthquake,6.99,0.8,ml,0.129,0.52,0.259,US,BH,HAWA,--,46.3925,-119.533,364.0,"bucket1$58,:3,:15001",100,2009-09-19T19:24:37.310000Z,5576.0,5326.0,0.04,0.05,undecidable,,,8.726|9.605|0.369,2009.0,eq,0.8,0.129,0.4,0.04,
59,uw61781127,2021-10-15T17:00:32.140000Z,46.685,-121.536,earthquake,-0.37,0.63,ml,0.138,15.19,0.51,CC,BH,OPCH,--,46.7313,-121.571,592.4,"bucket1$59,:3,:15001",100,2021-10-15T16:59:42.140000Z,5190.0,5088.0,0.06,0.06,negative,impulsive,impulsive,11.452|2.776|1.018,2021.0,eq,0.63,0.137748629654,0.34,0.278464690004,
60,uw61070677,2015-09-26T20:09:53.660000Z,46.614,-119.812,earthquake,7.69,0.45,ml,0.107,0.35,0.7,UW,HH,CCRK,--,46.5585,-119.855,561.0,"bucket1$60,:3,:15001",100,2015-09-26T20:09:03.660000Z,5373.0,5211.0,0.06,0.03,negative,impulsive,impulsive,4.246|12.441|11.701,2015.0,eq,0.45,0.107,0.31,0.344,
61,uw10616538,2004-07-28T08:25:23.390000Z,46.645,-121.875,earthquake,7.231,0.4,md,0.04,1.06,0.691,UW,BH,LON,--,46.7506,-121.81,853.0,"bucket1$61,:3,:15001",100,2004-07-28T08:24:33.390000Z,5431.0,5229.0,0.04,0.02,undecidable,,,11.966|10.315|8.4,2004.0,eq,,,0.4,0.04,
62,uw60536591,2013-06-06T08:16:58.720000Z,47.608,-122.742,earthquake,17.552,1.14,ml,0.17,0.74,0.46,UW,BH,GNW,--,47.5641,-122.825,220.0,"bucket1$62,:3,:15001",100,2013-06-06T08:16:08.720000Z,5522.0,5310.0,0.03,0.06,undecidable,impulsive,impulsive,17.55|19.211|6.385,2013.0,eq,1.14,0.17,0.42,0.239,
63,uw10724718,2007-09-05T16:06:31.950000Z,42.444,-118.758,earthquake,1.568,1.7,md,0.07,6.16,1.225,TA,BH,K07A,--,42.6912,-119.247,1407.0,"bucket1$63,:3,:15001",100,2007-09-05T16:05:41.950000Z,6508.0,5853.0,0.06,0.06,undecidable,,,4.854|8.876|8.656,2007.0,eq,,,1.7,0.07,
64,uw10807108,2010-11-13T21:53:43.950000Z,47.914,-122.872,earthquake,20.681,1.88,ml,0.124,0.18,0.134,TA,BH,D03D,--,47.5347,-123.089,262.0,"bucket1$64,:3,:15001",100,2010-11-13T21:52:53.950000Z,6390.0,5775.0,0.06,0.03,undecidable,,,4.767|5.405|1.544,2010.0,eq,1.88,0.124,1.5,0.02,
65,uw61799672,2021-12-28T14:04:38.780000Z,47.541,-122.341,earthquake,27.04,1.41,ml,0.208,0.66,0.28,UW,HH,RCM,--,46.8356,-121.733,3085.0,"bucket1$65,:3,:15001",100,2021-12-28T14:03:48.780000Z,7569.0,6458.0,0.15,0.06,positive,emergent,impulsive,0.508|1.206|-0.394,2021.0,eq,1.41,0.207670029563,1.42,0.169951227905,
66,uw10716798,2007-01-13T22:51:09.190000Z,47.758,-122.603,earthquake,21.406,1.5,md,0.04,0.98,0.734,UW,BH,GNW,--,47.5641,-122.825,220.0,"bucket1$66,:3,:15001",100,2007-01-13T22:50:19.190000Z,5963.0,5533.0,0.04,0.08,undecidable,,,8.582|10.849|11.37,2007.0,eq,,,1.5,0.04,
67,uw10799608,2010-07-24T11:45:39.140000Z,48.071,-123.911,earthquake,34.278,1.55,ml,0.17,0.97,0.616,CN,BH,PGC,--,48.6498,-123.452,12.0,"bucket1$67,:3,:15001",100,2010-07-24T11:44:49.140000Z,7136.0,6206.0,0.03,0.03,undecidable,,,9.437|-1.973|0.144,2010.0,eq,1.55,0.17,0.6,0.02,
